"survive","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param","extinction.time","extinction.time.sd","num.reps","cell.type"
0,"137",2,2.75,0.6,33.8172307935762,17.9245821142738,1000,"REG-ON"
0,"138",10,2.75,0.6,39.4240894476886,21.7344771887281,1000,"REG-ON"
0,"139",50,2.75,0.6,52.8154668897192,34.1756085639416,1000,"REG-ON"
0,"140",200,2.75,0.6,70.970279251307,47.9597812394636,1000,"REG-ON"
0,"141",2,3,0.6,31.5312380018085,16.3259433458564,1000,"REG-ON"
0,"142",10,3,0.6,35.9522021548631,19.7837994737035,1000,"REG-ON"
0,"143",50,3,0.6,48.1689555290306,30.2659124324494,1000,"REG-ON"
0,"144",200,3,0.6,61.3161743228782,39.9057837679109,1000,"REG-ON"
0,"145",2,3.5,0.6,28.0275266633934,13.8957506278693,1000,"REG-ON"
0,"146",10,3.5,0.6,30.2964574952088,16.8706855632986,1000,"REG-ON"
0,"147",50,3.5,0.6,40.2023833077245,24.504780261973,1000,"REG-ON"
0,"148",200,3.5,0.6,48.756505956374,29.95312838514,1000,"REG-ON"
0,"149",2,4,0.6,25.5044219852967,12.9287682308939,1000,"REG-ON"
0,"150",10,4,0.6,27.8707177787136,14.9224260842114,1000,"REG-ON"
0,"151",50,4,0.6,34.6249248550281,20.2355244098399,1000,"REG-ON"
0,"152",200,4,0.6,42.4610740987862,25.0610075474199,1000,"REG-ON"
0,"153",2,4.5,0.6,22.7455982892764,11.3070746684403,1000,"REG-ON"
0,"154",10,4.5,0.6,25.2886607955697,13.6924531301736,1000,"REG-ON"
0,"155",50,4.5,0.6,31.9138877413176,17.5888969184303,1000,"REG-ON"
0,"156",200,4.5,0.6,36.467771129902,21.8706130533041,1000,"REG-ON"
0,"157",2,5,0.6,20.7551147086867,10.3709790442973,1000,"REG-ON"
0,"158",10,5,0.6,23.4486273456605,11.735898704572,1000,"REG-ON"
0,"159",50,5,0.6,28.472554640415,15.7301904490502,1000,"REG-ON"
0,"160",200,5,0.6,33.0095214343085,19.0202572451783,1000,"REG-ON"
1,"161",2,0,0.7,NA,NA,1000,"REG-ON"
1,"162",10,0,0.7,NA,NA,1000,"REG-ON"
1,"163",50,0,0.7,NA,NA,1000,"REG-ON"
1,"164",200,0,0.7,NA,NA,1000,"REG-ON"
0.961,"165",2,0.5,0.7,38.1649985506731,28.7784234362129,1000,"REG-ON"
0.973,"166",10,0.5,0.7,22.7642004454517,13.7240078479332,1000,"REG-ON"
0.985,"167",50,0.5,0.7,16.8964761680697,7.2732782486497,1000,"REG-ON"
0.991,"168",200,0.5,0.7,19.4427513592564,17.102258255139,1000,"REG-ON"
0.851,"169",2,0.7,0.7,81.4754223287459,70.6151962865178,1000,"REG-ON"
0.926,"170",10,0.7,0.7,51.772608167196,41.4079650784547,1000,"REG-ON"
0.983,"171",50,0.7,0.7,31.1736389378693,22.201887638333,1000,"REG-ON"
0.99,"172",200,0.7,0.7,31.0792451089837,25.1894851778775,1000,"REG-ON"
0.317,"173",2,0.9,0.7,238.748052023572,244.233815748307,1000,"REG-ON"
0.75,"174",10,0.9,0.7,98.2358678209699,89.8163596998021,1000,"REG-ON"
